@relation data

@attribute id string
@attribute 27010 numeric
@attribute 79178 numeric
@attribute 84284 numeric
@attribute 9054 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__J01,0.0437,0.1987,0.066,0.3146,Control
Utah__J02,0.194,0.1885,0.2451,0.442,Control
Utah__J03,0.2529,0.0997,0.2136,0.5864,Control
Utah__J04,0.239,0.0843,0.1431,0.5514,Control
Utah__J05,0.3898,0.2649,0.175,0.3134,Control
Utah__J06,0.2342,0.0518,0.3399,0.3594,Control
Utah__J07,0.2323,0.2257,0.1396,0.5718,Control
Utah__J08,0.1575,0.2235,0.1859,0.491,Control
Utah__J09,0.1675,0.0809,0.1797,0.326,Control
Utah__J10,0.5167,0.1747,0.3415,0.5123,Control
Utah__J11,0.2907,0.2395,0.107,0.3972,Control
Utah__J12,0.2374,0.0783,0.1445,0.3728,Control
Utah__K01,0.5046,0.2572,0.4278,0.6169,BRCACancer
Utah__K02,0.3191,0.1472,0.2665,0.5725,BRCACancer
Utah__K03,0.2074,0.0398,0.1784,0.4497,BRCACancer
Utah__K04,0.2567,0.1711,0.2019,0.6779,BRCACancer
Utah__K05,0.1894,0.0461,0.0335,0.5676,Control
Ontario__AA_RR-849,0.1115,0.0681,0.0931,0.4291,BRCACancer
Ontario__AE_RR-3300,0.2322,0.1917,0.1335,0.3624,Control
Ontario__AF_RR-3276,0.003,-0.0683,0.2441,0.5658,Control
Ontario__AG_RR-3298,0.0968,0.0135,0.0902,0.3247,Control
Ontario__AH_RR-3295,0.2573,0.1385,0.2441,0.3502,Control
Ontario__AI_RR-3291,0.3371,0.3047,0.3015,0.4904,Control
Ontario__AJ_RR-3296,0.2258,0.1738,0.155,0.4392,Control
Ontario__AM_RR-1949,0.136,0.0663,0.1852,0.4077,Control
Ontario__AN_RR-3297,0.1942,0.2682,0.072,0.4916,Control
Ontario__AO_RR-3288,0.4341,0.1783,0.1676,0.4685,Control
Ontario__AP_RR-3280,0.0532,0.0327,0.0508,0.2265,Control
Ontario__AR_RR-3278,0.3722,0.0656,0.1845,0.4853,Control
Ontario__AS_RR-3277,0.2353,0.1476,0.0618,0.4323,Control
Ontario__A_RR96-12,0.634,0.4068,0.3164,0.5893,BRCACancer
Ontario__B_RR-1519,0.0337,0.0924,0.3581,0.7561,BRCACancer
Ontario__C_RR-3293,0.136,0.0929,0.4293,0.7531,BRCACancer
Ontario__D_RR-3301,0.1861,-0.0917,0.1048,0.2643,BRCACancer
Ontario__E_RR-2070,0.4184,0.4068,0.2026,0.5963,BRCACancer
Ontario__J_RR-1226,0.0928,-0.0114,0.0569,0.2953,BRCACancer
Ontario__K_RR-3290,0.2931,0.1137,0.1286,0.3709,Control
Ontario__L_RR-3286,0.4431,0.0648,0.3629,0.3922,Control
Ontario__N_RR-3294,0.1523,0.1671,0.1515,0.3717,Control
Ontario__O_RR-3285,0.1824,0.1685,0.165,0.3509,Control
Ontario__P_RR-3274,0.1583,-0.1425,0.1004,0.3639,Control
Ontario__Q_RR-3283,0.2611,0.463,0.1061,0.4253,Control
Ontario__RR-3275,0.1582,0.2488,0.1332,0.4996,Control
Ontario__RR-3281,0.1131,-0.0299,0.1116,0.2146,Control
Ontario__RR-3287,0.2203,0.2488,0.1345,0.5055,BRCACancer
Ontario__RR-3289,0.242,0.1553,0.1758,0.4231,Control
Ontario__RR-3299,0.3588,0.1658,0.2123,0.4421,BRCACancer
Ontario__T_RR-3292,0.1581,0.0891,0.0373,0.2254,Control
Ontario__U_RR-2236,0.349,0.2737,0.1873,0.5451,BRCACancer
Ontario__V_RR-1455,0.0735,0.1612,0.4713,0.9078,BRCACancer
Ontario__W_RR-922,0.1597,0.0824,0.1454,0.2409,BRCACancer
Ontario__X_RR-1083,0.1514,0.147,0.1779,0.3372,BRCACancer
Ontario__Y_RR-841,0.0807,-0.1643,0.0304,0.2411,BRCACancer
Ontario__Z_RR-778,0.115,0.1626,0.0472,0.465,BRCACancer
