@relation data

@attribute id string
@attribute 4208 numeric
@attribute 3725 numeric
@attribute 4205 numeric
@attribute 2002 numeric
@attribute 54106 numeric
@attribute 9450 numeric
@attribute 4615 numeric
@attribute 6416 numeric
@attribute 3929 numeric
@attribute 8737 numeric
@attribute 1386 numeric
@attribute 10333 numeric
@attribute 9252 numeric
@attribute 4214 numeric
@attribute 23643 numeric
@attribute 3551 numeric
@attribute 6885 numeric
@attribute 1385 numeric
@attribute 5648 numeric
@attribute 735 numeric
@attribute 929 numeric
@attribute 9641 numeric
@attribute 4791 numeric
@attribute 8411 numeric
@attribute 4790 numeric
@attribute 4793 numeric
@attribute 731 numeric
@attribute 4792 numeric
@attribute 730 numeric
@attribute 733 numeric
@attribute 732 numeric
@attribute 7100 numeric
@attribute 114609 numeric
@attribute 1432 numeric
@attribute 5970 numeric
@attribute 28908 numeric
@attribute 7189 numeric
@attribute 729 numeric
@attribute 11035 numeric
@attribute 727 numeric
@attribute 23118 numeric
@attribute 51295 numeric
@attribute 1849 numeric
@attribute 1848 numeric
@attribute 629 numeric
@attribute 1845 numeric
@attribute 1846 numeric
@attribute 64145 numeric
@attribute 717 numeric
@attribute 716 numeric
@attribute 718 numeric
@attribute 713 numeric
@attribute 712 numeric
@attribute 715 numeric
@attribute 714 numeric
@attribute 51284 numeric
@attribute 10747 numeric
@attribute 51311 numeric
@attribute 148022 numeric
@attribute 1147 numeric
@attribute 257397 numeric
@attribute 59307 numeric
@attribute 4153 numeric
@attribute 51135 numeric
@attribute 5601 numeric
@attribute 5602 numeric
@attribute 5600 numeric
@attribute 5605 numeric
@attribute 5606 numeric
@attribute 30849 numeric
@attribute 5604 numeric
@attribute 5609 numeric
@attribute 5608 numeric
@attribute 7314 numeric
@attribute 6196 numeric
@attribute 6197 numeric
@attribute 5595 numeric
@attribute 5598 numeric
@attribute 5594 numeric
@attribute 6195 numeric
@attribute 7867 numeric
@attribute 3661 numeric
@attribute 8517 numeric
@attribute 5599 numeric
@attribute 81793 numeric
@attribute 9261 numeric
@attribute 28378 numeric
@attribute 5516 numeric
@attribute 5515 numeric
@attribute 5518 numeric
@attribute 5289 numeric
@attribute 353376 numeric
@attribute 5519 numeric
@attribute 3654 numeric
@attribute 11213 numeric
@attribute 29110 numeric
@attribute 466 numeric
@attribute 7098 numeric
@attribute 5528 numeric
@attribute 1675 numeric
@attribute 7099 numeric
@attribute 10454 numeric
@attribute 4064 numeric
@attribute 7096 numeric
@attribute 2353 numeric
@attribute 7097 numeric
@attribute 3665 numeric
@attribute Class {Control,BRCACancer}

@data
A11,0.6111,1.0715,0.9525,0.307,0.2791,0.4639,1.19,0.6083,-0.1452,1.0851,1.2742,1.4566,0.6274,1.7477,0.5463,0.7572,1.0633,1.3787,-0.0877,-0.0955,2.1422,0.486,0.7828,0.6129,1.1125,0.6536,-0.0401,2.0686,-0.1335,0.1706,-0.0128,0.1889,0.3079,1.1233,1.1956,0.1744,0.7483,-0.1061,0.7319,0.3726,1.3488,0.1961,0.7563,1.3036,0.0496,1.0297,-0.1053,0.5594,0.1931,-0.0849,-3e-04,0.1436,0.0178,0.1138,-0.0294,0.5223,-0.0297,1.8202,0.494,1.3452,1.2154,0.8443,-0.1131,1.7687,0.8994,-0.0066,-0.0624,0.421,0.6863,0.7362,0.5921,0.4688,0.5351,0.4886,0.04,1.6868,0.9765,0.4872,1.8048,0.7337,0.9279,0.4834,0.3096,1.1557,0.5844,0.7879,0.0973,0.815,1.4128,1.2934,1.076,0.4073,0.9172,0.5158,1.6079,1.4879,1.3333,0.366,0.8513,1.2696,2.5177,0.1351,1.013,1.3985,2.8409,1.3526,0.1769,Control
A12,0.4231,0.7127,0.4354,0.1436,0.3105,0.4439,1.2792,0.2659,-0.0484,0.9064,1.0839,0.869,0.1613,1.228,0.6193,0.7413,0.8197,1.2041,0.1106,0.0384,1.712,0.4495,0.5338,0.362,1.0664,0.4964,0.1042,1.6783,-0.0595,0.163,0.0899,0.3085,0.0293,0.8493,0.7846,0.2376,0.4091,0.0112,0.467,0.0632,1.1995,0.0522,0.7942,0.8089,0.1416,0.675,-0.2069,0.6517,0.1159,0.0494,-0.0088,0.3638,0.089,-0.0566,0.131,0.1313,0.0111,1.4267,0.2745,0.8449,0.8013,0.398,-0.0418,0.9909,0.889,0.0022,-0.2465,0.184,0.6913,0.5739,0.3092,0.2095,0.2159,0.4167,0.1467,1.2042,0.6537,0.0668,1.2884,0.6804,0.8309,0.3105,0.1044,0.6947,0.6228,0.7533,-0.313,0.5993,1.3762,0.7434,0.5475,0.3097,0.4313,0.1702,0.8858,0.9782,0.9125,0.2558,0.8033,0.9598,1.4943,0.0696,0.7188,1.443,0.8747,0.7856,0.0394,Control
B01,0.7079,0.9621,1.0373,0.1758,0.3658,0.4467,1.2536,0.5919,0.0319,1.2248,1.4056,1.0403,0.6866,2.2282,0.7352,0.9675,1.3462,1.6376,0.1521,-0.057,1.5238,0.6758,0.7368,0.8769,1.5141,0.5264,0.0818,2.5522,-0.0459,-0.0222,0.0916,0.2804,0.3017,1.2183,1.1788,0.0681,0.6996,-0.0267,0.659,0.3383,1.775,0.0499,0.6747,0.9033,0.2521,0.8122,-0.4239,0.9587,0.1836,0.0955,-0.0505,0.3036,-0.0494,0.0819,-0.2475,0.4846,0.1592,1.4307,0.127,1.2751,1.2914,0.4799,-0.0734,1.9258,1.0989,-0.0215,-0.3463,0.1378,0.573,0.8374,0.6422,0.2865,0.6443,0.3895,0.1028,1.6935,0.7649,0.22,1.5393,0.6135,0.9654,0.4563,0.0057,1.4678,0.5684,1.0472,-0.2457,0.7725,1.7176,1.0859,1.0901,0.5216,0.8704,0.1675,1.5145,1.1875,1.116,0.1997,0.8455,0.5973,1.8841,0.093,1.0807,1.7042,1.9307,1.5377,-0.1518,Control
B02,0.745,1.3562,0.8533,0.3923,0.261,0.5293,1.8021,0.5649,-0.0916,1.3491,1.5309,1.2861,0.5097,2.0497,0.8084,1.0914,1.34,1.7428,-0.027,-0.0558,2.6224,0.8247,1.1,0.6989,1.4393,0.9941,0.0081,3.1122,-0.1117,0.1822,0.027,0.4758,0.402,1.3113,1.5668,0.1041,0.8729,-0.0542,0.9548,0.264,1.6152,0.2978,1.2899,1.5833,0.1273,1.264,0.0252,1.001,0.2456,-0.0648,0.1469,0.2331,0.2073,0.082,-0.0722,0.5452,0.1413,1.7908,0.3888,1.2949,1.2955,0.9243,-0.0928,1.9216,1.2179,-0.0218,0.0037,0.4073,0.8811,0.8919,0.6051,0.6416,0.5247,0.5973,0.1062,1.7893,1.0793,0.509,1.7139,0.9415,1.2638,0.8168,0.3553,1.2677,0.6694,1.0668,-0.0558,0.8361,1.9071,1.4757,0.9838,0.5395,0.8881,0.6555,1.5573,1.4201,1.2594,0.3698,1.1175,1.4363,2.4056,0.2473,1.3107,2.1365,3.0541,1.9047,0.3335,Control
B03,0.7637,1.1569,0.9842,0.3166,0.2854,0.5053,1.5754,0.6194,0.0695,1.3596,1.5341,1.2684,0.6076,2.2274,0.8239,1.0365,1.3737,1.7274,-0.0037,-0.1094,2.3564,0.7081,0.8867,0.6512,1.4807,0.7242,-0.0151,2.6831,-0.1543,0.176,0.0561,0.4549,0.3368,1.2964,1.3846,0.0448,0.889,-0.0942,0.761,0.2982,1.7276,0.224,1.0108,1.3987,0.1128,1.0402,0.0233,0.9554,0.1572,0.0536,0.1031,0.2413,-0.0997,0.1383,-0.0759,0.5223,0.0599,1.7769,0.3089,1.2866,1.2427,0.7992,-0.0445,1.8931,1.1503,-0.034,-0.0909,0.3033,0.708,0.8602,0.6391,0.497,0.5927,0.4994,0.0777,1.7773,0.9322,0.3646,1.7231,0.8717,1.0734,0.6288,0.1775,1.2757,0.776,1.0034,0.0086,0.766,1.8553,1.3093,1.0424,0.5519,0.8912,0.495,1.5906,1.3619,1.2457,0.2957,0.974,0.9967,2.3322,0.1583,1.4362,1.9716,2.6415,2.0194,0.1394,BRCACancer
B04,1.1502,0.8223,1.3511,0.2218,0.3876,0.5415,1.5204,0.7505,-0.1029,1.2711,1.5952,1.685,0.8287,2.5867,0.5983,1.2905,1.4161,1.7233,-0.0086,-0.1035,1.1606,0.7678,0.6674,0.6752,1.6477,0.6067,0.0479,1.6768,-0.1159,0.192,-0.044,0.3305,0.3348,1.5574,1.1066,-0.0312,0.7544,-0.0791,0.7019,0.2458,1.9384,0.1332,0.92,1.1753,0.0179,0.7644,-0.1001,0.8584,0.1717,-0.0335,-0.0399,0.0895,-0.0274,0.0436,-0.0882,0.2153,0.0113,1.1543,0.3324,1.0813,1.2517,0.6673,-0.3307,1.5019,1.1443,-0.0073,-0.0903,0.3598,0.7454,0.8119,0.7937,0.4032,0.6523,0.5398,0.1477,1.7897,0.7103,0.2164,1.892,0.8704,1.1552,0.5826,0.0921,1.1452,0.5437,1.248,-0.0497,0.5713,1.5659,1.0976,1.0987,0.551,0.8618,0.4569,1.8627,1.1314,0.949,0.2774,0.8904,0.6134,1.5152,0.2069,1.2042,1.5372,0.8639,1.8843,0.1612,BRCACancer
B05,0.6722,0.6881,0.8065,0.1931,0.4771,0.3118,1.8138,0.52,-0.0743,1.1351,1.2618,0.9468,0.3764,1.848,0.4937,0.8579,1.0362,1.3547,0.0266,-0.017,0.8717,0.5847,0.7361,0.4691,1.2639,0.849,0.0796,2.6534,-0.1198,0.5153,-0.0035,0.2633,0.1999,1.0531,1.2743,0.1196,0.7887,-0.0847,0.7865,0.1306,1.3724,0.1132,0.9657,0.9546,0.087,0.6835,-0.0762,0.7917,0.2993,-0.0259,0.2281,0.4614,0.7035,0.1247,0.3806,0.3928,0.0947,1.8504,0.3952,1.0308,1.1678,0.685,-0.2007,1.509,0.9502,0.0088,-0.1129,0.3612,0.8433,0.6736,0.4861,0.4422,0.2515,0.631,0.1613,1.5845,0.8091,0.4043,1.7712,0.7804,1.1978,0.5526,0.033,1.0222,0.4458,1.1897,0.063,0.7599,1.5339,1.0423,0.8576,0.4815,0.6773,0.4789,1.6974,1.1312,0.9936,0.2002,0.8336,1.0724,1.8907,0.037,0.8302,1.4553,1.0309,0.9064,0.3625,BRCACancer
B06,0.7218,0.3086,0.7521,-0.0943,0.2802,0.3757,1.0216,0.4002,-0.0478,1.0197,1.2558,1.2566,0.3382,1.6836,0.3971,0.8602,1.0289,1.416,0.0815,-0.0035,1.5615,0.585,0.4539,0.4733,1.2056,0.2939,0.1701,1.5007,0.0353,-0.0045,0.3188,0.2111,0.0275,1.0091,0.8016,-0.0266,0.5568,0.1185,0.5792,0.169,1.3674,-0.0887,0.1999,1.0828,0.0902,0.663,-0.6011,0.7187,0.148,0.1461,-0.16,0.1791,-0.2076,-0.067,-0.0863,0.2573,0.0386,1.3956,0.0523,1.1032,0.9385,0.3113,0.0425,1.5786,0.8584,0.0728,-0.3907,-0.0139,0.3251,0.5792,0.5274,0.1049,0.4629,0.2582,0.0056,1.3938,0.5053,0.0583,1.2783,0.4476,0.7359,0.3628,-0.1417,0.9729,0.361,0.7222,0.0213,0.5914,1.4358,0.6971,0.8503,0.3891,0.6007,0.0286,1.3546,1.0676,0.748,0.2479,0.5586,0.4309,1.9739,-0.0841,0.6525,1.627,0.6734,1.4233,-0.2267,BRCACancer
B07,0.9278,1.0713,1.0057,0.2699,0.261,0.605,1.6613,0.6667,-0.1155,1.5135,1.682,1.5513,0.6786,2.0738,0.6612,1.2148,1.4521,1.8168,-0.0312,-0.0597,2.268,0.9335,0.9613,0.7438,1.4768,0.8338,-0.0122,2.1568,-0.0912,0.2447,0.0064,0.5048,0.5138,1.4636,1.4052,0.1737,0.8359,-0.0457,1.0235,0.3004,1.7519,0.3251,1.1212,1.5465,0.1195,1.1193,0.033,0.9919,0.2787,-0.0745,-0.0443,0.1815,0.1076,0.0916,0.0265,0.5106,0.1942,1.8207,0.4452,1.4799,1.3403,0.9823,-0.1169,2.1403,1.2765,-0.0018,0.0257,0.486,0.8574,0.8816,0.6798,0.5956,0.5065,0.4712,0.0924,1.8335,1.0321,0.4366,1.792,0.9039,1.1764,0.9028,0.215,1.4186,0.7337,1.0546,0.0155,0.8726,1.8213,1.3097,1.1202,0.5482,1.0208,0.5452,1.6028,1.6559,1.3215,0.452,1.1095,1.0062,2.268,0.2606,1.5568,2.1551,1.1335,2.0958,0.2564,BRCACancer
B08,0.5768,1.1173,0.7458,0.3521,0.226,0.5882,1.5663,0.4788,-0.0329,1.1911,1.4027,1.8433,0.5668,1.8445,0.7614,0.8656,1.1057,1.5686,-0.0733,-0.0996,2.4708,0.6598,0.907,0.6442,1.2024,0.8673,-0.0399,1.9468,-0.1398,0.1747,0.0028,0.4517,0.4023,1.2368,1.2641,0.1618,0.7919,-0.0685,0.9469,0.3053,1.3754,0.2696,1.2221,2.429,0.0262,1.332,0.0726,0.7333,0.1766,-0.0202,0.0409,0.0924,0.1235,0.0629,-0.2132,0.7383,-0.0101,2.0632,0.3711,1.4267,1.2131,0.8938,-0.1329,1.903,0.9295,0.0215,0.1273,0.444,0.7926,0.6939,0.667,0.5798,0.433,0.64,0.0338,1.7098,1.0572,0.4735,1.6981,0.827,1.1754,0.6994,0.392,1.0803,0.3897,0.7547,-0.095,0.9851,1.6709,1.4326,0.9817,0.4894,0.8409,0.6366,1.5994,1.4246,1.4643,0.1869,0.8955,1.6388,2.7239,0.1985,1.7578,2.1175,1.386,1.7757,0.3141,Control
