@relation data

@attribute id string
@attribute 3141 numeric
@attribute 686 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__I05,0.1101,0.2781,Control
Utah__I06,0.1183,0.3023,Control
Utah__I07,0.148,0.3819,Control
Utah__I08,0.0834,0.4425,Control
Utah__I09,0.0404,0.1774,Control
Utah__I10,0.1321,0.3685,Control
Utah__I11,0.0401,0.194,Control
Utah__I12,0.097,0.294,Control
Utah__I13,0.0745,0.3175,Control
Utah__J01,0.1038,0.1754,Control
Utah__J02,0.0941,0.2831,Control
Utah__J03,0.1757,0.4914,Control
Utah__J04,0.1603,0.3184,Control
Utah__J05,0.1372,0.1974,Control
Utah__J06,0.1658,0.2283,Control
Utah__J07,0.1544,0.3408,Control
Utah__J08,0.1071,0.3249,Control
Utah__J09,0.1641,0.2115,Control
Utah__J10,0.3103,0.3949,Control
Utah__J11,0.2513,0.2716,Control
Utah__J12,0.2747,0.2035,Control
Utah__K01,0.1506,0.4192,BRCACancer
Utah__K02,0.1195,0.4045,BRCACancer
Utah__K03,0.1737,0.2819,BRCACancer
Utah__K04,0.2256,0.423,BRCACancer
Utah__K05,0.1352,0.2451,Control
Ontario__AA3226,0.0265,0.1542,Control
Ontario__AB3227,0.1641,0.3873,Control
Ontario__AC3228,0.085,0.2888,Control
Ontario__AD3231,0.1904,0.3953,Control
Ontario__AE1543,0.1111,0.2833,Control
Ontario__AF3229,0.0471,0.2354,Control
Ontario__AG3230,0.0656,0.3005,Control
Ontario__AH3232,0.0922,0.2046,Control
Ontario__AI3233,0.1948,0.4428,Control
Ontario__AJ3234,0.1979,0.4006,Control
Ontario__AK3235,0.1325,0.4181,Control
Ontario__AL3236,0.161,0.3455,Control
Ontario__AM3237,0.2634,0.4405,Control
Ontario__AN757,0.1435,0.2561,Control
Ontario__C474,0.0446,0.1586,Control
Ontario__D480,0.098,0.2225,Control
Ontario__E519,0.1831,0.1548,Control
Ontario__F548,0.0601,0.2156,Control
Ontario__G660,0.107,0.1608,Control
Ontario__H663,0.1252,0.2891,Control
Ontario__I782,0.0994,0.2508,Control
Ontario__J787,0.1707,0.2578,Control
Ontario__K1162,0.1939,0.3914,BRCACancer
Ontario__L1176,0.1491,0.2734,BRCACancer
Ontario__M1263,0.1416,0.3194,BRCACancer
Ontario__P1075,0.03,0.2126,BRCACancer
Ontario__Q1080,0.0408,0.0821,BRCACancer
Ontario__R1104,0.1867,0.3154,BRCACancer
Ontario__S1133,0.0411,0.0942,BRCACancer
Ontario__T1463,0.3068,0.4783,BRCACancer
Ontario__U2017,0.0531,0.2567,BRCACancer
Ontario__V432,0.0419,0.1384,BRCACancer
Ontario__W433,0.1855,0.3444,BRCACancer
Ontario__X524,0.1069,0.1554,BRCACancer
Ontario__Y546,0.0221,0.0531,BRCACancer
Ontario__Z3225,0.2639,0.46,Control
